event_url,대분류,중분류,소분류,treatment_name,main_image_url,rating,review_count,original_price,selling_price,hospital_name,hospital_address,treatment_description,option_info,target_group,procedure_info,procedure_qna,downtime_info,side_effect_info
https://www.yeoshin.co.kr/event/mobile/23526,피부,필링,필링,"피부가 예민할수록, 예스필이 정답입니다.",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/H5CioqSmGJxk5SaGwICB08P731w2.jpg?q=90&f=webp&w=1024,9.5,2.0,99000.0,92000,청담르벨의원,서울특별시 강남구 선릉로 756 (청담동) 대성빌딩 3층주소복사,,VAT 포함,,,,필링 시술시간 30~60분 마취여부 마취없음 회복시간 당일 시술효과 약 1주 후,
https://www.yeoshin.co.kr/event/mobile/17616,피부,스킨부스터,엑소좀,홍대 포레나 크리스탈 엑소좀,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/klbULm9RPwgHRC067bjzkiK7ZBY3.jpg?q=90&f=webp&w=1024,,,319000.0,312000,포레나의원,크림마취,,VAT 포함,,,,엑소좀 시술시간 30~60분 마취여부 크림마취 회복시간 약 3일 시술효과 1~2주 후,
https://www.yeoshin.co.kr/event/mobile/23064,피부,피부레이저,클라리티,클라리티 여성 브라질리언 제모,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/bnQ40hFLume1CN4U1X9iBjVfmXA5.jpg?q=90&f=webp&w=1024,9.4,7.0,55000.0,48000,워너비의원,크림마취,여성제모 #반영구적 #손상거의없이 모낭과 모근에 레이저빔을 선택적으로 조사하여 피부 손상 거의 없이 반영구적으로! #깨끗하고 #깔끔하게 굵은 털부터 얇은 털까지 제거하여 깨끗하고 깔끔해 보이는 이미지로 개선! #적은통증 #부작용DOWN 통증이 비교적 적고 자극성 피부염이나 모낭염과 같은 부작용 걱정은 DOWN! 권장주기 1개월 / 5회 이상 시술,VAT 포함,셀프제모로 인한 색소침착이 고민인 분 잦은 제모로 인해 피부트러블이 생긴 분 털 없는 매끈한 피부로 개선하기 원하는 분 반영구적인 효과를 얻고 싶은 분,,,여성제모 시술시간 5~10분 마취여부 마취없음 회복시간 당일 시술효과 1~2주 후,
https://www.yeoshin.co.kr/event/mobile/18463,피부,필링,필링,피부과전문의/여드름유산균필링,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/s0khgOPRooJReHRoVjv9Y5jztMP2.jpg?q=90&f=webp&w=1024,,,330000.0,323000,페이브피부과의원(용산),"서울특별시 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋) 페이브피부과의원주소복사","여드름레이저 #유산균케어 #피지조절 #여드름개선 유산균 앰플 침투로 피지선 파괴하여 피지 분비를 줄여주고 여드름 재발률 DOWN #여드름개선 #콜라겐생성 여드름을 개선시켜 전반적으로 깔끔한 피부 완성 #항염 #민감성여드름 #여드름진정 피부에 자극이 없는 유산균 앰플 침투로 민감성 여드름피부 개선, 항염 권장주기 1주 / 3~5회 시술",VAT 포함,"피지를 조절하여 여드름을 개선하고 싶은 분 피부 재생과 여드름 치료 효과를 동시에 원하는 분 피지가 많아 여드름, 트러블이 자주 발생하는 분 염증을 감소시키고 흉터를 예방하고 싶은 분","시술 특장점 피지 분비 감소 주된 원인인 피지선에 직접 작용하여 피지 분비를 감소시키고 여드름을 개선합니다. 즉각적인 진정 항염작용 피부에 자극이 없는 유산균 앰플 침투로 민감성 여드름피부 개선, 항염",시술 후 주의할 점이 있나요? 시술 후 피부가 건조해질 수 있으니 수분 보충에 유의해주시고 외출시 반드시 선크림을 사용해주세요. 시술시 부작용이 있나요? 시술 후에는 얼굴이 따갑고 화끈거릴 수 있으나 개인에 따라 차이가 있을 수 있습니다.,여드름레이저 시술시간 60분 마취여부 없음 회복시간 약 1~2일 시술효과 1~2주 후,"주의사항 1 열감, 붉은 기, 붓기 등은 1~2일 정도 지속될 수 있습니다. 2 알콜 성분이 들어있는 토너나 화장품은 당분간 사용을 중단해주세요. 3 보습제와 재생크림을 자주 사용해주세요. 4 외출시 선크림을 반드시 바르는 것이 좋습니다. 5 시술 후 생기는 딱지는 자연스럽게 탈락되도록 해주세요."
https://www.yeoshin.co.kr/event/mobile/23033,리프팅,레이저리프팅,이래비티,질건조+질타이트닝 엘리바바(TT + VT),https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/94OXZpv94oyQ99NUOkHEit6u9LY4.jpg?q=90&f=webp&w=1024,10.0,1.0,700000.0,693000,연세이롬산부인과의원,수면마취,외음부레이저 #콜라겐형성 #건조증완화 레이저가 콜라겐 형성을 도와 질벽의 탄력과 질 건조증 완화 #비수술적 #치료 출혈과 통증이 거의 없는 비수술적 치료로 회복 시간 Down! 권장주기 3~4주 / 3회 시술,VAT 포함,질이 건조해져 고통을 느끼는 분 질 이완 증상이 고민인 분 질타이트닝을 원하지만 수술적 방법은 부담스러운 분 다양한 여성 고민을 개선하고 싶은 분,,,외음부레이저 시술시간 50~60분 마취여부 마취없음 회복시간 당일 시술효과 1개월 후,
https://www.yeoshin.co.kr/event/mobile/18295,제모,바디제모,항문제모,여성 브라질리언+항문 제모 5회,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/zKybMTDsmigu8tzlTA7MZSCwuQc1.png?q=90&f=webp&w=1024,9.0,2.0,429000.0,422000,다이아의원,크림마취,여성제모 #후기 좋은 다이아의원의 깔끔제모 전 시술 모두 효과 좋은 아포지 플러스 제모 기기를 사용합니다. #깨끗하고 #깔끔하게 굵은 털부터 얇은 털까지 제거하여 깨끗하고 깔끔해 보이는 이미지로 개선! #적은통증 #부작용DOWN 통증이 비교적 적고 자극성 피부염이나 모낭염과 같은 부작용 걱정은 DOWN! 권장주기 1개월 / 5회 이상 시술,VAT 포함,셀프제모로 인한 색소침착이 고민인 분 잦은 제모로 인해 피부트러블이 생긴 분 털 없는 매끈한 피부로 개선하기 원하는 분 반영구적인 효과를 얻고 싶은 분,,,여성제모 시술시간 5~10분 마취여부 마취없음 회복시간 당일 시술효과 1~2주후,
https://www.yeoshin.co.kr/event/mobile/3830,보톡스,근육보톡스,사각턱보톡스,사각턱보톡스,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/3057797332.jpg?q=90&f=webp&w=1024,8.5,2.0,55000.0,48000,에스와이(SY)성형외과의원,"서울특별시 서초구 강남대로 535 (반포동) 9층(반포동, 프린스빌딩)주소복사",사각턱보톡스 #근육축소 근육의 움직임을 일정시간 마비시켜 근육 축소에 효과적 #사각턱개선 #매끈라인 저작근의 발달으로 사각턱으로 보여지는 얼굴라인을 매끄럽게 개선 #비대칭개선 양측 저작근 부피 차이로 인한 안면 윤곽 비대칭을 개선 권장주기 6개월 / 1회 시술,VAT 포함,이갈이가 심해 고민인 분 딱딱한 음식을 씹는 습관으로 사각턱이 발달하신 분 양측 안면 윤곽이 비대칭이어서 고민인 분,,시술시 부작용이 있나요? 보톡스는 비교적 간단한 시술로 부작용이 거의 없으나 개인마다 간지럼증이나 두드러기 반응이 있을 수 있습니다. 시술후 일상생활이 가능한가요? 시술후 세안및 화장은 2시간뒤부터 가능합니다,사각턱보톡스 시술시간 10분 마취여부 크림마취 회복시간 3일 시술효과 1~2주 후,"주의사항 1 시술 후, 음주 및 흡연을 자제해주세요. 2 시술 부위를 강하게 마사지하거나 누르지 말아주세요 3 일주일동안 고온다습한 사우나, 찜질방 등은 피해주세요."
https://www.yeoshin.co.kr/event/mobile/25984,제모,얼굴제모,수염제모,남자 수염 제모 (마취포함/모낭염예방),https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/weFk8sGPxnN1o80RhYfbXD08O01A.jpg?q=90&f=webp&w=1024,9.0,2.0,,13000,메이린의원(성수점),크림마취,"남성제모 #레이저전문 #표피손상없이 #깔끔 낭과 모근에 레이저빔을 선택적으로 조사하여 표피 손상과 색소침착 없이 효과적인 제모 시술입니다. 10년 노하우를 담아 정확하게 모낭과 모근을 타겟하는 파라미터 세팅을 이용합니다. 시술이 까다로운 굵은털까지 OK! #반영구 굵은 털은 장파장을 사용해야 하기 때문에 강한 에너지의 레이저가 조사됩니다. 깨끗하고 깔끔한 이미지로 탈바꿈 가능합니다. #통증DOWN #부작용DOWN #효과UP 탑재된 쿨링시스템으로 통증과 부작용을 최소화 하고, 효과는 높였습니다. 권장주기 1개월 / 5~10회 이상 시술",,셀프제모로 인한 색소침착이 고민인 분 잦은 제모로 인해 피부트러블이 생긴 분 털 없는 매끈한 피부로 개선하기 원하는 분 반영구적인 효과를 얻고 싶은 분,"시술 특장점 반영구적 효과 및 매끈한 피부 5~10회 제모 후 털이 거의 자라지 않아 매일 제모하는 번거로움이 없습니다. 털의 빈 공간에 주변 세포가 차오르고 모공 수축 효과로 피부가 부드러워집니다. 1인실, 여의사 및 남의사, 전용가운, 효과UP 편안한 시술을 위한 제모전용룸에서 진행되며, 타겟 레이저 치료로 효과를 높였습니다. 마취크림과 진정크림 서비스 시술 부위 특성 상 통증 감소를 위해 마취크림 도포 서비스 진행되며, 시술 후 모낭염 발생 예방을 위해 진정크림 도포 서비스 포함됩니다.","제모하기 전 준비해야할 부분이 있나요? 시술 1~2일 전 시술 부위를 쉐이빙(면도)한 후에 내원하시기 바랍니다. 레이저제모를 받으면 바로 모가 사라지나요? 레이저 제모를 하게 되면 모와 모낭, 모근에 열에너지가 가해지고, 그로 인해 모가 소작되며 소작된 모는 1~2주에 걸쳐 스스로 빠지게 됩니다.",남성제모 시술시간 5~10분 마취여부 크림마취 포함 회복시간 당일 시술효과,"주의사항 1 1~2일 정도는 붉은 기, 약간의 붓기가 있으나 자연 회복됩니다. 2 당일 화장, 세안, 샤워가 가능합니다. 3 사우나, 찜질방, 수영장 출입은 일주일 가량 피해주시기 바랍니다."
https://www.yeoshin.co.kr/event/mobile/27076,코성형,코재수술,코재수술,유노 리버스 코재수술,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/33IdObPKNvIZLihwEiRJje2FaSI4.jpg?q=90&f=webp&w=1024,,,,2739000,유노성형외과,서울특별시 서초구 서초대로77길 54 (서초동) W타워9층주소복사,,,,,,코재수술 시술시간 2~4시간 마취여부 전신/수면 회복시간 1~2주 시술효과 3~6개월,
https://www.yeoshin.co.kr/event/mobile/17582,피부,피부레이저,에토좀PTT,여드름 개선! 에토좀PTT,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/gP9N8PIrlolHq154PaSOur91egnA.png?q=90&f=webp&w=1024,9.9,22.0,165000.0,158000,CnB맑고고운본점피부과(주안),인천광역시 미추홀구 미추홀대로 610 (주안동) 현대메디컬프라자 3층주소복사,여드름레이저 #피지조절 #여드름개선 피지선을 파괴하여 피지 분비를 줄여주고 여드름 재발률 DOWN #모공개선 #콜라겐생성 콜라겐 생성을 유도해 전체적인 탄력을 주어 모공축소에도 효과적 권장주기 1~2주 / 5~10회 시술,VAT 포함,"피지를 조절하여 여드름을 개선하고 싶은 분 피부 재생과 여드름 치료 효과를 동시에 원하는 분 피지가 많아 여드름, 트러블이 자주 발생하는 분 염증을 감소시키고 흉터를 예방하고 싶은 분",,,여드름레이저 시술시간 60~90분 마취여부 마취없음 회복시간 약 1~2일 시술효과 1~2주 후,
