event_url,시술명,새_원가
https://www.yeoshin.co.kr/event/mobile/790,우아 잼버실리프팅,"103,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25846,듀얼라인 실리프팅으로 강력하게,"433,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17700,민트실,"250,000원"
https://www.yeoshin.co.kr/event/mobile/24644,대표원장 디자인 시술 실리프팅 모음,"101,900원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26024,"잼버, 민트 실 리프팅","488,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24861,-10 미니거상_대표원장,"869,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26823,"유니 미니거상, 안면거상","715,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21473,헤어라인 안쪽 미세절개 ! DM 미니거상,"2,200,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21038,SMAS미니거상1부위/성형외과전문의진료,"1,870,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/22426,3세대 4D 미니거상 미니리프팅,"979,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26183,리프성형외과 커스텀 미니거상,"2,079,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25477,유이 하안면부 안면거상술,"6,600,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27661,대표원장 직접시술 / 정품팁 울쎄라피프라임,"422,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25909,울쎄라피프라임,"2,193,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25835,촉촉 쫀득 리쥬베룩 4cc,"356,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25837,탄력업 쫀쫀 쥬베룩 4cc,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27080,더이뻐 쥬베룩볼륨/쥬베룩스킨,"92,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17120,스킨부스터 쥬베룩,"112,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17699,쥬베룩/쥬베룩볼륨,"69,000원"
https://www.yeoshin.co.kr/event/mobile/19279,유노 쥬베룩,"353,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/13290,여드름 흉터 여자피부과전문의,"183,000원
VAT 포함"
