event_url,원가,할인가격,할인율
https://www.yeoshin.co.kr/event/mobile/26432,330000.0,323000,2.0
https://www.yeoshin.co.kr/event/mobile/12553,275000.0,268000,2.0
https://www.yeoshin.co.kr/event/mobile/24983,1369500.0,1362500,0.0
https://www.yeoshin.co.kr/event/mobile/26884,2490000.0,2483000,0.0
https://www.yeoshin.co.kr/event/mobile/26882,3400000.0,3393000,0.0
https://www.yeoshin.co.kr/event/mobile/18267,285000.0,278000,2.0
https://www.yeoshin.co.kr/event/mobile/26411,1640000.0,1633000,0.0
https://www.yeoshin.co.kr/event/mobile/19154,250000.0,243000,2.0
https://www.yeoshin.co.kr/event/mobile/18747,108900.0,101900,6.0
https://www.yeoshin.co.kr/event/mobile/18746,108900.0,101900,6.0
https://www.yeoshin.co.kr/event/mobile/18748,187000.0,180000,3.0
https://www.yeoshin.co.kr/event/mobile/18749,154000.0,147000,4.0
https://www.yeoshin.co.kr/event/mobile/20563,86900.0,79900,8.0
https://www.yeoshin.co.kr/event/mobile/27590,97900.0,90900,7.0
https://www.yeoshin.co.kr/event/mobile/18801,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/18803,88000.0,81000,7.0
https://www.yeoshin.co.kr/event/mobile/23080,45000.0,38000,15.0
https://www.yeoshin.co.kr/event/mobile/6746,75900.0,68900,9.0
https://www.yeoshin.co.kr/event/mobile/21982,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/2350,64900.0,57900,10.0
https://www.yeoshin.co.kr/event/mobile/11972,55000.0,48000,12.0
https://www.yeoshin.co.kr/event/mobile/16374,59000.0,52000,11.0
https://www.yeoshin.co.kr/event/mobile/17371,27500.0,20500,25.0
https://www.yeoshin.co.kr/event/mobile/21268,31900.0,24900,21.0
https://www.yeoshin.co.kr/event/mobile/18802,20000.0,13000,35.0
https://www.yeoshin.co.kr/event/mobile/6823,110000.0,103000,6.0
https://www.yeoshin.co.kr/event/mobile/18804,99000.0,92000,7.0
https://www.yeoshin.co.kr/event/mobile/17981,108900.0,101900,6.0
https://www.yeoshin.co.kr/event/mobile/1263,330000.0,323000,2.0
https://www.yeoshin.co.kr/event/mobile/16988,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/18049,330000.0,323000,2.0
https://www.yeoshin.co.kr/event/mobile/718,55000.0,48000,12.0
https://www.yeoshin.co.kr/event/mobile/25221,99000.0,92000,7.0
https://www.yeoshin.co.kr/event/mobile/5290,38500.0,31500,18.0
https://www.yeoshin.co.kr/event/mobile/25222,196900.0,189900,3.0
https://www.yeoshin.co.kr/event/mobile/17288,31900.0,24900,21.0
https://www.yeoshin.co.kr/event/mobile/13029,27500.0,20500,25.0
https://www.yeoshin.co.kr/event/mobile/12140,97900.0,90900,7.0
https://www.yeoshin.co.kr/event/mobile/6344,129000.0,122000,5.0
https://www.yeoshin.co.kr/event/mobile/3664,132000.0,125000,5.0
https://www.yeoshin.co.kr/event/mobile/26638,55000.0,48000,12.0
https://www.yeoshin.co.kr/event/mobile/21213,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/27334,27500.0,20500,25.0
https://www.yeoshin.co.kr/event/mobile/26669,77000.0,70000,9.0
https://www.yeoshin.co.kr/event/mobile/18357,132000.0,125000,5.0
https://www.yeoshin.co.kr/event/mobile/8081,77000.0,70000,9.0
https://www.yeoshin.co.kr/event/mobile/27591,119900.0,112900,5.0
https://www.yeoshin.co.kr/event/mobile/17505,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/25845,,213000,
https://www.yeoshin.co.kr/event/mobile/26708,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/25268,55000.0,48000,12.0
https://www.yeoshin.co.kr/event/mobile/26695,88000.0,81000,7.0
https://www.yeoshin.co.kr/event/mobile/27029,75900.0,68900,9.0
https://www.yeoshin.co.kr/event/mobile/19818,40000.0,33000,17.0
https://www.yeoshin.co.kr/event/mobile/1519,64900.0,57900,10.0
https://www.yeoshin.co.kr/event/mobile/10300,319000.0,312000,2.0
https://www.yeoshin.co.kr/event/mobile/4661,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/16760,62700.0,55700,11.0
https://www.yeoshin.co.kr/event/mobile/6493,110000.0,103000,6.0
https://www.yeoshin.co.kr/event/mobile/23583,66000.0,59000,10.0
https://www.yeoshin.co.kr/event/mobile/5871,50000.0,43000,14.0
https://www.yeoshin.co.kr/event/mobile/18566,108900.0,101900,6.0
https://www.yeoshin.co.kr/event/mobile/23625,44000.0,37000,15.0
https://www.yeoshin.co.kr/event/mobile/20594,119900.0,112900,5.0
https://www.yeoshin.co.kr/event/mobile/17287,24200.0,17200,28.0
https://www.yeoshin.co.kr/event/mobile/9269,84700.0,77700,8.0
https://www.yeoshin.co.kr/event/mobile/7227,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/26026,75900.0,68900,9.0
https://www.yeoshin.co.kr/event/mobile/26025,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/26159,53900.0,46900,12.0
https://www.yeoshin.co.kr/event/mobile/27534,128700.0,121700,5.0
https://www.yeoshin.co.kr/event/mobile/25256,53900.0,46900,12.0
https://www.yeoshin.co.kr/event/mobile/6836,132000.0,125000,5.0
https://www.yeoshin.co.kr/event/mobile/17247,,246000,
https://www.yeoshin.co.kr/event/mobile/23065,220000.0,213000,3.0
https://www.yeoshin.co.kr/event/mobile/1879,99000.0,92000,7.0
https://www.yeoshin.co.kr/event/mobile/14763,82500.0,75500,8.0
https://www.yeoshin.co.kr/event/mobile/16381,77000.0,70000,9.0
https://www.yeoshin.co.kr/event/mobile/17280,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/26133,31900.0,24900,21.0
https://www.yeoshin.co.kr/event/mobile/9558,,153000,
https://www.yeoshin.co.kr/event/mobile/1230,68200.0,61200,10.0
https://www.yeoshin.co.kr/event/mobile/9632,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/15947,22000.0,15000,31.0
https://www.yeoshin.co.kr/event/mobile/14069,55000.0,48000,12.0
https://www.yeoshin.co.kr/event/mobile/13878,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/7593,253000.0,246000,2.0
https://www.yeoshin.co.kr/event/mobile/10953,110000.0,103000,6.0
https://www.yeoshin.co.kr/event/mobile/18242,42900.0,35900,16.0
https://www.yeoshin.co.kr/event/mobile/1378,59800.0,52800,11.0
https://www.yeoshin.co.kr/event/mobile/13720,165000.0,158000,4.0
https://www.yeoshin.co.kr/event/mobile/16535,49500.0,42500,14.0
https://www.yeoshin.co.kr/event/mobile/14770,28000.0,21000,25.0
https://www.yeoshin.co.kr/event/mobile/20634,220000.0,213000,3.0
https://www.yeoshin.co.kr/event/mobile/14656,253000.0,246000,2.0
https://www.yeoshin.co.kr/event/mobile/24928,87000.0,80000,8.0
https://www.yeoshin.co.kr/event/mobile/25826,319000.0,312000,2.0
https://www.yeoshin.co.kr/event/mobile/8155,90000.0,83000,7.0
https://www.yeoshin.co.kr/event/mobile/14689,132000.0,125000,5.0
https://www.yeoshin.co.kr/event/mobile/13419,108900.0,101900,6.0
https://www.yeoshin.co.kr/event/mobile/7581,99000.0,92000,7.0
https://www.yeoshin.co.kr/event/mobile/14842,110000.0,103000,6.0
https://www.yeoshin.co.kr/event/mobile/7777,110000.0,103000,6.0
