event_url,hospital_name,hospital_url,status
https://www.yeoshin.co.kr/event/mobile/25259,끗한의원(수원),https://www.yeoshin.co.kr/hospitals/103930?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/8282,베이드의원,https://www.yeoshin.co.kr/hospitals/4738?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/23770,브라운성형외과의원,https://www.yeoshin.co.kr/hospitals/4231?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/25024,CNP차앤박피부과(명동점),https://www.yeoshin.co.kr/hospitals/103839?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/875,뷰티제이의원,https://www.yeoshin.co.kr/hospitals/4715?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/18321,베네핏의원,https://www.yeoshin.co.kr/hospitals/4653?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/18249,브라운성형외과의원,https://www.yeoshin.co.kr/hospitals/4231?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/4490,케이톡스의원(인천구월점),https://www.yeoshin.co.kr/hospitals/4594?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27533,모리프한의원,https://www.yeoshin.co.kr/hospitals/104099?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/1996,파크뷰의원(운정점),https://www.yeoshin.co.kr/hospitals/3112?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27092,휴먼피부과의원(청라점),https://www.yeoshin.co.kr/hospitals/2836?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26346,땡큐성형외과의원,https://www.yeoshin.co.kr/hospitals/4755?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/14428,메이드유의원(대전점),https://www.yeoshin.co.kr/hospitals/4625?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/21703,디온의원(홍대점),https://www.yeoshin.co.kr/hospitals/5087?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27477,유앤아이의원(영등포점),https://www.yeoshin.co.kr/hospitals/4599?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/25302,반니성형외과의원,https://www.yeoshin.co.kr/hospitals/4626?from=events&tabmenu=EVENTS,success
